programming_id,student_id,language,problems_solved,assessments_completed,mini_projects,certifications_earned,latest_project_score
1,37,Angular JS,34,2,8,30,54
2,15,DataScience,237,9,8,12,94
3,9,DataScience,81,4,7,31,13
4,3,AI/ML,55,9,2,20,56
5,81,AI/ML,256,9,7,37,98
6,66,Angular JS,168,7,0,25,40
7,48,Angular JS,70,4,6,28,14
8,54,AI/ML,235,5,5,10,77
9,71,AI/ML,111,7,3,32,31
10,51,AI/ML,178,0,6,14,21
11,88,AI/ML,229,2,2,40,84
12,54,Quantum Computing,146,4,7,43,3
13,62,Angular JS,179,7,3,46,53
14,51,Full Stack Development,112,4,6,47,17
15,73,AI/ML,45,8,8,15,7
16,74,Quantum Computing,185,7,8,41,81
17,33,Angular JS,215,2,2,1,87
18,86,DataScience,17,8,3,32,75
19,41,Full Stack Development,263,8,0,14,73
20,66,BlockChain,183,8,6,45,91
21,54,Angular JS,86,5,5,36,65
22,37,Quantum Computing,53,4,5,22,80
23,57,AI/ML,140,8,2,16,87
24,43,Full Stack Development,258,9,2,46,99
25,19,Full Stack Development,33,7,7,30,52
26,28,Angular JS,58,8,6,43,61
27,94,AI/ML,278,8,3,35,80
28,38,Full Stack Development,63,0,0,20,1
29,26,BlockChain,187,2,8,40,94
30,98,AI/ML,170,0,3,31,51
31,99,Angular JS,71,7,8,16,43
32,28,Angular JS,86,6,9,26,28
33,46,Quantum Computing,0,5,7,5,47
34,1,BlockChain,168,9,9,37,31
35,28,DataScience,256,7,0,5,58
36,90,Full Stack Development,121,6,9,40,43
37,70,Full Stack Development,114,8,1,8,89
38,92,Angular JS,0,3,1,3,13
39,49,Full Stack Development,155,4,0,44,76
40,62,Quantum Computing,203,9,1,21,43
41,51,Full Stack Development,47,4,0,0,7
42,28,Angular JS,95,4,5,19,69
43,31,AI/ML,88,6,2,9,32
44,94,Angular JS,18,5,9,27,57
45,59,Full Stack Development,154,9,8,31,72
46,30,Angular JS,34,4,5,7,99
47,91,Angular JS,293,9,7,43,77
48,93,Full Stack Development,59,7,9,20,81
49,22,DataScience,172,8,0,11,30
50,40,Quantum Computing,251,7,7,16,39
51,37,Full Stack Development,43,8,9,34,48
52,36,Angular JS,176,9,4,34,51
53,2,Angular JS,210,4,9,20,28
54,78,Full Stack Development,270,5,4,8,30
55,7,AI/ML,166,0,3,0,19
56,97,Full Stack Development,275,6,4,6,20
57,73,DataScience,21,7,8,24,84
58,39,Angular JS,69,0,6,43,74
59,3,Angular JS,10,7,3,43,3
60,55,BlockChain,270,5,9,38,67
61,35,Angular JS,109,2,7,46,10
62,57,Full Stack Development,219,0,2,24,67
63,67,Angular JS,182,2,1,43,9
64,60,Full Stack Development,245,2,9,37,59
65,94,Full Stack Development,34,8,3,12,20
66,44,AI/ML,234,1,4,8,24
67,39,Quantum Computing,245,9,6,11,66
68,49,AI/ML,81,9,3,8,74
69,100,AI/ML,210,0,2,12,94
70,16,DataScience,36,0,0,0,10
71,64,DataScience,250,6,0,5,72
72,20,BlockChain,191,6,3,15,53
73,34,DataScience,129,4,7,19,89
74,83,Quantum Computing,56,3,6,2,35
75,71,DataScience,284,9,1,2,55
76,48,Angular JS,24,0,1,35,41
77,87,BlockChain,108,2,8,42,21
78,60,Full Stack Development,72,7,5,28,30
79,99,DataScience,263,5,2,40,33
80,80,Angular JS,267,3,4,14,17
81,40,Full Stack Development,82,8,4,40,7
82,58,BlockChain,220,5,5,4,9
83,20,AI/ML,242,3,3,36,26
84,28,Angular JS,175,7,8,36,77
85,88,BlockChain,230,8,7,8,15
86,81,Quantum Computing,126,2,0,1,94
87,100,Angular JS,77,5,6,9,68
88,54,DataScience,299,1,9,12,84
89,41,AI/ML,126,1,1,7,24
90,82,Full Stack Development,245,3,4,38,62
91,61,Quantum Computing,173,6,0,49,71
92,74,AI/ML,117,3,8,13,32
93,67,DataScience,161,3,1,5,49
94,2,Full Stack Development,250,6,1,40,10
95,87,AI/ML,73,9,7,31,96
96,88,AI/ML,280,6,5,12,63
97,52,Full Stack Development,297,1,7,10,15
98,64,Full Stack Development,248,4,0,11,41
99,12,Angular JS,297,3,2,11,40
100,82,DataScience,224,3,5,7,9
101,31,BlockChain,285,3,2,5,22
102,44,Full Stack Development,231,0,1,10,6
103,30,Quantum Computing,142,1,2,4,46
104,13,AI/ML,163,7,9,16,26
105,14,DataScience,58,3,2,27,54
106,94,Quantum Computing,76,6,6,14,17
107,60,Full Stack Development,159,5,3,25,30
108,95,Quantum Computing,107,2,6,28,7
109,76,BlockChain,134,6,3,6,82
110,23,Angular JS,229,0,1,2,7
111,21,AI/ML,110,3,2,15,66
112,17,AI/ML,240,5,1,2,72
113,85,AI/ML,33,9,0,35,34
114,28,Full Stack Development,230,3,5,43,57
115,86,Full Stack Development,93,8,9,35,45
116,51,BlockChain,100,9,6,33,15
117,56,DataScience,5,9,1,27,61
118,49,AI/ML,158,9,8,38,79
119,97,AI/ML,189,5,4,9,87
120,18,Full Stack Development,293,4,5,27,72
121,31,AI/ML,84,1,6,6,38
122,100,AI/ML,239,6,9,47,66
123,72,BlockChain,176,7,3,35,48
124,51,AI/ML,38,5,2,12,86
125,22,Full Stack Development,139,3,2,31,32
126,89,Full Stack Development,299,0,3,17,91
127,23,Quantum Computing,28,3,7,24,76
128,7,Quantum Computing,17,2,1,18,99
129,34,Quantum Computing,233,0,6,45,88
130,8,Quantum Computing,128,0,6,8,60
131,3,DataScience,110,8,9,2,73
132,88,Angular JS,157,3,5,41,21
133,100,DataScience,282,6,2,33,39
134,62,Full Stack Development,58,6,4,25,96
135,53,BlockChain,258,9,8,20,82
136,43,DataScience,135,7,6,16,38
137,11,Quantum Computing,249,6,0,3,49
138,65,BlockChain,72,7,8,28,94
139,62,AI/ML,204,3,2,16,73
140,11,BlockChain,228,1,3,10,76
141,49,BlockChain,170,7,8,49,32
142,9,Full Stack Development,142,9,3,47,97
143,80,AI/ML,278,0,0,41,27
144,14,Angular JS,23,5,7,8,40
145,59,Angular JS,179,5,0,44,71
146,74,AI/ML,264,5,6,18,86
147,84,Full Stack Development,167,2,1,34,19
148,61,Full Stack Development,285,5,6,44,48
149,90,DataScience,258,3,6,42,30
150,74,AI/ML,240,1,7,0,35
151,66,Angular JS,126,9,4,3,54
152,92,Full Stack Development,89,2,4,49,92
153,81,Full Stack Development,30,4,7,40,24
154,61,DataScience,28,4,3,20,28
155,45,Angular JS,259,8,4,9,12
156,14,DataScience,147,5,8,6,64
157,69,BlockChain,143,6,1,9,18
158,71,DataScience,85,8,1,48,38
159,88,BlockChain,163,9,8,0,74
160,12,Angular JS,282,9,5,20,76
161,24,DataScience,233,8,4,17,12
162,10,Full Stack Development,293,9,2,26,13
163,32,Full Stack Development,197,8,7,17,53
164,92,DataScience,295,7,7,18,34
165,26,BlockChain,55,1,6,3,51
166,48,AI/ML,69,5,7,25,12
167,95,DataScience,79,8,4,3,91
168,86,Full Stack Development,133,0,9,17,80
169,70,Full Stack Development,213,4,5,25,15
170,94,BlockChain,202,1,5,23,51
171,70,BlockChain,297,2,4,9,27
172,94,Angular JS,241,8,1,1,80
173,7,AI/ML,184,8,1,9,97
174,27,AI/ML,296,1,4,36,30
175,83,Full Stack Development,162,5,2,41,15
176,52,DataScience,123,7,4,0,66
177,96,Full Stack Development,90,7,9,48,91
178,21,Angular JS,139,8,3,30,21
179,54,Full Stack Development,199,4,4,31,48
180,79,Quantum Computing,37,2,6,24,90
181,42,Angular JS,9,2,9,33,91
182,3,Quantum Computing,71,0,4,31,61
183,63,BlockChain,72,0,3,34,64
184,4,DataScience,229,5,9,1,49
185,42,Full Stack Development,205,9,1,19,1
186,93,Angular JS,115,9,8,25,77
187,13,Quantum Computing,285,3,1,15,10
188,55,Angular JS,253,0,8,13,38
189,49,Full Stack Development,35,5,6,24,1
190,58,Angular JS,117,2,4,47,39
191,83,DataScience,277,8,0,49,40
192,1,Full Stack Development,230,0,4,21,31
193,89,Full Stack Development,235,8,5,44,84
194,3,Angular JS,128,2,4,34,10
195,1,Quantum Computing,144,2,3,36,25
196,54,DataScience,198,1,2,5,98
197,31,AI/ML,112,1,6,5,14
198,83,AI/ML,7,3,2,3,61
199,30,Quantum Computing,139,5,4,7,98
200,19,Full Stack Development,24,9,7,26,81
201,23,DataScience,230,1,1,38,4
202,26,BlockChain,64,9,8,36,44
203,37,BlockChain,180,9,1,36,91
204,5,Quantum Computing,255,8,3,15,22
205,76,Quantum Computing,273,0,3,11,51
206,98,Full Stack Development,228,5,6,25,31
207,88,BlockChain,242,9,6,26,63
208,39,Quantum Computing,204,5,9,6,12
209,25,BlockChain,73,4,9,15,31
210,40,Full Stack Development,35,9,5,12,0
211,9,Angular JS,140,5,3,30,56
212,71,Quantum Computing,73,1,9,43,27
213,82,Full Stack Development,193,0,0,16,15
214,4,Angular JS,91,8,0,16,74
215,5,Angular JS,150,9,1,9,41
216,75,DataScience,41,1,2,7,9
217,4,Full Stack Development,222,9,6,47,57
218,44,Full Stack Development,99,9,0,19,62
219,52,Full Stack Development,163,9,1,34,87
220,98,DataScience,195,8,2,18,89
221,34,Angular JS,80,6,3,23,8
222,27,Quantum Computing,20,3,4,30,64
223,62,Quantum Computing,133,8,8,2,13
224,59,Angular JS,297,0,3,26,21
225,37,DataScience,108,1,2,39,85
226,91,Angular JS,113,2,3,3,80
227,34,BlockChain,119,1,8,48,39
228,5,AI/ML,65,7,2,10,53
229,51,AI/ML,0,9,6,34,6
230,74,BlockChain,252,8,8,47,9
231,29,Quantum Computing,12,6,2,23,27
232,2,Quantum Computing,136,0,8,46,65
233,99,AI/ML,104,4,7,24,91
234,21,Angular JS,295,7,2,15,82
235,79,Full Stack Development,191,8,2,39,61
236,72,AI/ML,140,5,4,42,15
237,42,BlockChain,15,7,0,44,51
238,72,Angular JS,112,6,6,12,18
239,15,DataScience,88,4,6,47,88
240,91,Quantum Computing,243,2,8,30,32
241,82,DataScience,296,1,1,9,55
242,85,Angular JS,120,8,3,25,25
